Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
France,2023,840269,842266,1682535,France,France,44700.1384177544,68372286.0,0.012318821693339315,0.012289613952647422
France,2024,852970,854563,1707533,France,France,46103.0840855884,68551653.0,0.012465972191801122,0.012442734240121095
Germany,2016,1007533,1009551,2017084,Germany,Germany,42948.9381932694,82348669.0,0.01225946954892495,0.012234963991949888
Germany,2017,1023340,1025506,2048846,Germany,Germany,45553.9341495339,82657002.0,0.012406765007034734,0.012380560330508963
Germany,2018,1063669,1066167,2129836,Germany,Germany,48916.1686612154,82905782.0,0.012859983637811895,0.012829853049332554
Germany,2019,1063232,1065455,2128687,Germany,Germany,47656.199739747,83092962.0,0.012822445780666719,0.01279569261232979
Germany,2020,436593,438869,875462,Germany,Germany,47394.8734504469,83160871.0,0.005277349728576075,0.005249981087860419
Germany,2021,483557,485978,969535,Germany,Germany,52349.2459994422,83196078.0,0.005841357088972391,0.005812257159526198
Germany,2022,740326,742813,1483139,Germany,Germany,50506.5179638543,83177813.0,0.008930422347122784,0.00890052254679983
Germany,2023,797702,799887,1597589,Germany,Germany,54776.7668235491,83287273.0,0.009603952334950382,0.009577717834512363
Germany,2024,829217,831226,1660443,Germany,Germany,56103.7323182554,83516593.0,0.009952824584211668,0.009928769484167056
Greece,2016,220303,220513,440816,Greece,Greece,17919.2426377048,10775971.0,0.020463399539586733,0.020443911736585038
Greece,2017,230253,230318,460571,Greece,Greece,18631.9930129293,10754679.0,0.021415608964247098,0.02140956508325353
Greece,2018,252129,252282,504411,Greece,Greece,19873.4015238771,10732882.0,0.023505522561414537,0.023491267303600284
Greece,2019,254113,254337,508450,Greece,Greece,19335.3602002969,10721582.0,0.023721965657679995,0.023701073218485854
Greece,2020,114567,114992,229559,Greece,Greece,17886.733165236,10698599.0,0.010748323215030305,0.010708598387508496
Greece,2021,185329,185451,370780,Greece,Greece,20654.7001960815,10569207.0,0.017546349503799102,0.017534806537519796
Greece,2022,254805,255002,509807,Greece,Greece,20886.5243087629,10436882.0,0.02443277599574279,0.02441390062664309
Greece,2023,274734,274837,549571,Greece,Greece,23343.7103964562,10407351.0,0.026407968752086865,0.026398071901293615
Greece,2024,296495,296743,593238,Greece,Greece,24626.1481858973,10405134.0,0.0285189023034206,0.028495067915511707
Hungary,2016,47894,47849,95743,Hungary,Hungary,13215.8605277789,9759755.0,0.004902684544847693,0.004907295316327101
Hungary,2017,51130,51136,102266,Hungary,Hungary,14736.1668157258,9726756.0,0.005257251235663771,0.005256634380465594
Hungary,2018,57264,57210,114474,Hungary,Hungary,16605.0570511887,9706964.0,0.0058937068273870186,0.00589926984379462
Hungary,2019,61080,61052,122132,Hungary,Hungary,17012.8598553199,9694824.0,0.006297380952970368,0.0063002690920433415
Hungary,2020,23873,23897,47770,Hungary,Hungary,16386.9308821258,9670419.0,0.0024711442182598293,0.0024686624230035948
Hungary,2021,27276,27267,54543,Hungary,Hungary,19030.628130329,9630932.0,0.0028311901693418664,0.002832124658340439
Hungary,2022,49013,48969,97982,Hungary,Hungary,18428.028825614,9605074.0,0.0050982428662184175,0.005102823778348819
Hungary,2023,53684,53713,107397,Hungary,Hungary,22230.6277875187,9592186.0,0.00559966205826284,0.005596638764094024
Hungary,2024,63016,63014,126030,Hungary,Hungary,23292.3263882478,9562065.0,0.006589999126757662,0.006590208286599181
Ireland,2016,136978,137080,274058,Ireland,Ireland,64129.5571542383,4762722.0,0.02878186045710835,0.028760444132577966
Ireland,2017,141666,141708,283374,Ireland,Ireland,72161.4047531385,4827445.0,0.029354658623764743,0.0293459583692823
Ireland,2018,146983,146978,293961,Ireland,Ireland,80804.1123164826,4898022.0,0.03000762348556213,0.030008644305803446
Ireland,2019,150552,150572,301124,Ireland,Ireland,81827.6688873996,4976456.0,0.030256873566248753,0.030252854641937957
Ireland,2020,57191,57292,114483,Ireland,Ireland,86514.0706108754,5039747.0,0.011368030974570746,0.01134799028602031
Ireland,2021,58394,58399,116793,Ireland,Ireland,103783.446284479,5110585.0,0.011427067547061638,0.011426089185484637
Ireland,2022,132435,132489,264924,Ireland,Ireland,105190.685952731,5212836.0,0.02541591563594174,0.025405556591460005
Ireland,2023,150146,150195,300341,Ireland,Ireland,106818.917130804,5311538.0,0.02827712048751228,0.028267895287579604
Ireland,2024,151654,151711,303365,Ireland,Ireland,112894.953240805,5395790.0,0.028116550125190196,0.028105986333789863
Italy,2016,565693,565595,1131288,Italy,Italy,31391.5692898108,60115223.0,0.009408515377211525,0.009410145579930727
Italy,2017,580698,580447,1161145,Italy,Italy,32844.115660604,60002252.0,0.009673753578449022,0.009677936754773804
Italy,2018,601954,601789,1203743,Italy,Italy,34904.1081923834,60148658.0,0.010005027876099913,0.010007771079447857
